valve,valve2,Type,odor1,odor2,Concentration,Concentration_fake,antag_anal,control_anal
2,22,Blank 1,water,water,0,0,1,1
24,23,Blank 2,DEP,DEP,0,0,1,1
2,24,Blank combo,water,DEP,0,0,1,1
22,23,blank combo,DEP,water,0,0,1,1
8,24,TMA,TMA,DEP,1,0.001,1,1
7,23,TMA,TMA,DEP,2,0.01,1,1
6,24,TMA,TMA,DEP,3,0.1,1,1
5,23,TMA,TMA,DEP,4,1,1,1
4,24,TMA,TMA,DEP,5,10,1,1
3,23,TMA,TMA,DEP,6,100,1,1
15,2,Nonenol,Nonenol,water,1,0.001,1,0
14,22,Nonenol,Nonenol,water,2,0.01,1,0
13,2,Nonenol,Nonenol,water,3,0.1,1,0
25,22,Nonenol,Nonenol,water,4,1,1,0
11,2,Nonenol,Nonenol,water,5,10,1,0
10,22,Nonenol,Nonenol,water,6,100,1,0
21,2,Linalool,Linalool,water,1,0.001,0,1
20,22,Linalool,Linalool,water,2,0.01,0,1
19,2,Linalool,Linalool,water,3,0.1,0,1
18,22,Linalool,Linalool,water,4,1,0,1
17,2,Linalool,Linalool,water,5,10,0,1
16,22,Linalool,Linalool,water,6,100,0,1
8,15,TMA + Non,TMA,Nonenol,1,0.001,1,0
7,14,TMA + Non,TMA,Nonenol,2,0.01,1,0
6,13,TMA + Non,TMA,Nonenol,3,0.1,1,0
5,25,TMA + Non,TMA,Nonenol,4,1,1,0
4,11,TMA + Non,TMA,Nonenol,5,10,1,0
3,10,TMA + Non,TMA,Nonenol,6,100,1,0
8,21,TMA + Lin,TMA,Linalool,1,0.001,0,1
7,20,TMA + Lin,TMA,Linalool,2,0.01,0,1
6,19,TMA + Lin,TMA,Linalool,3,0.1,0,1
5,18,TMA + Lin,TMA,Linalool,4,1,0,1
4,17,TMA + Lin,TMA,Linalool,5,10,0,1
3,16,TMA + Lin,TMA,Linalool,6,100,0,1
15,21,Non + Lin,Nonenol,Linalool,1,0.001,0,0
14,20,Non + Lin,Nonenol,Linalool,2,0.01,0,0
13,19,Non + Lin,Nonenol,Linalool,3,0.1,0,0
25,18,Non + Lin,Nonenol,Linalool,4,1,0,0
11,17,Non + Lin,Nonenol,Linalool,5,10,0,0
10,16,Non + Lin,Nonenol,Linalool,6,100,0,0